job_title,occupation,records
                                        ,,1
家管                                    ,,1
,01,7
                                        ,01,7
3D製圖                                  ,01,1
Bim工程師,01,1
BIM中心專員                             ,01,1
BIM約聘副工程師,01,1
BIM資訊助理工程師                       ,01,1
CNC程式工程師                           ,01,1
CSA Engineer                            ,01,1
Engineer,01,1
Manager                                 ,01,1
Surveyor,01,2
Web/資料庫工程師                        ,01,1
一般                                    ,01,1
一般工程人員,01,1
一般工程師                              ,01,1
一般正職                                ,01,1
一般行政                                ,01,4
一般行政人員                            ,01,1
一般員工                                ,01,12
一般專員                                ,01,1
一般帳務處理                            ,01,1
一般職,01,1
一般職員,01,117
一般職務                                ,01,1
一等實習生                              ,01,1
一職等工程工程師                        ,01,1
人事                                    ,01,3
人事行政                                ,01,2
人事專員                                ,01,1
人資                                    ,01,4
人資專員,01,3
人資經理                                ,01,1
人資管理師                              ,01,1
人資總務,01,1
土木工程技師,01,2
土木工程師                              ,01,1
土木技師                                ,01,5
土水（自營）                            ,01,1
土水師傅                                ,01,1
土建工程師                              ,01,1
土開專員                                ,01,1
大吊車指揮手,01,1
大地工程師                              ,01,1
小包,01,1
工                                      ,01,8
工人                                    ,01,8
工地工程師                              ,01,1
工地主任                                ,01,45
工地主任助理                            ,01,1
工地行政                                ,01,1
工地助理                                ,01,1
工地負責人                              ,01,2
工地現場                                ,01,2
工地監工                                ,01,1
工地領班主管                            ,01,1
工安                                    ,01,18
工安人員                                ,01,1
工安工程師,01,8
工安專員                                ,01,1
工安經理,01,1
工作人員                                ,01,1
工事                                    ,01,1
工務                                    ,01,48
工務人員                                ,01,1
工務工程師,01,1
工務內業                                ,01,1
工務文書處理助理                        ,01,1
工務主任,01,1
工務主管                                ,01,1
工務行政                                ,01,4
工務助理                                ,01,15
工務員                                  ,01,1
工務副主任                              ,01,1
工務副理,01,3
工務專員                                ,01,1
工務部,01,1
工務部門主管                            ,01,1
工務部副理,01,2
工務部專員                              ,01,1
工務經理,01,6
工程人員                                ,01,11
工程主任                                ,01,1
工程助理                                ,01,5
工程技工                                ,01,1
工程技師,01,1
工程技術員                              ,01,1
工程客服部組長                          ,01,1
工程員                                  ,01,4
工程師                                  ,01,469
工程師（監造）,01,1
工程師、會計                            ,01,1
工程師助理                              ,01,2
工程專員                                ,01,1
工程部經理,01,1
工程管理人員,01,2
工程管理師,01,1
工程繪圖,01,1
工程繪圖組人員,01,1
工管組副理                              ,01,1
工頭                                    ,01,1
工讀生                                  ,01,1
中區業務                                ,01,1
內頁工程師,01,1
內務                                    ,01,1
內勤                                    ,01,3
內勤人員,01,2
內勤文書                                ,01,1
內勤行政                                ,01,1
